# activity_index; type; from_event; to_event; lower_bound; upper_bound
158; "drive"; 165; 166; 1; 5
159; "wait"; 166; 167; 1; 3
160; "drive"; 167; 168; 1; 5
161; "drive"; 169; 170; 1; 5
162; "wait"; 170; 171; 1; 3
163; "drive"; 171; 172; 1; 5
164; "wait"; 172; 173; 1; 3
165; "drive"; 173; 174; 1; 5
166; "wait"; 174; 175; 1; 3
167; "drive"; 175; 176; 1; 5
168; "wait"; 176; 177; 1; 3
169; "drive"; 177; 178; 1; 5
170; "wait"; 178; 179; 1; 3
171; "drive"; 179; 180; 1; 5
172; "wait"; 180; 181; 1; 3
173; "drive"; 181; 182; 1; 5
174; "wait"; 182; 183; 1; 3
175; "drive"; 183; 184; 3; 6
176; "drive"; 185; 186; 1; 5
177; "wait"; 186; 187; 1; 3
178; "drive"; 187; 188; 1; 5
179; "wait"; 188; 189; 1; 3
180; "drive"; 189; 190; 1; 5
181; "wait"; 190; 191; 1; 3
182; "drive"; 191; 192; 1; 5
183; "wait"; 192; 193; 1; 3
184; "drive"; 193; 194; 1; 5
185; "wait"; 194; 195; 1; 3
186; "drive"; 195; 196; 1; 5
187; "wait"; 196; 197; 1; 3
188; "drive"; 197; 198; 1; 5
189; "wait"; 198; 199; 1; 3
190; "drive"; 199; 200; 3; 6
191; "drive"; 201; 202; 3; 6
192; "wait"; 202; 203; 1; 3
193; "drive"; 203; 204; 1; 5
194; "wait"; 204; 205; 1; 3
195; "drive"; 205; 206; 1; 5
196; "wait"; 206; 207; 1; 3
197; "drive"; 207; 208; 1; 5
198; "wait"; 208; 209; 1; 3
199; "drive"; 209; 210; 1; 5
200; "wait"; 210; 211; 1; 3
201; "drive"; 211; 212; 1; 5
202; "wait"; 212; 213; 1; 3
203; "drive"; 213; 214; 1; 5
204; "wait"; 214; 215; 1; 3
205; "drive"; 215; 216; 1; 5
206; "drive"; 217; 218; 3; 6
207; "wait"; 218; 219; 1; 3
208; "drive"; 219; 220; 1; 5
209; "wait"; 220; 221; 1; 3
210; "drive"; 221; 222; 1; 5
211; "wait"; 222; 223; 1; 3
212; "drive"; 223; 224; 1; 5
213; "wait"; 224; 225; 1; 3
214; "drive"; 225; 226; 1; 5
215; "wait"; 226; 227; 1; 3
216; "drive"; 227; 228; 1; 5
217; "wait"; 228; 229; 1; 3
218; "drive"; 229; 230; 1; 5
219; "wait"; 230; 231; 1; 3
220; "drive"; 231; 232; 1; 5
221; "drive"; 233; 234; 3; 6
222; "wait"; 234; 235; 1; 3
223; "drive"; 235; 236; 3; 6
224; "wait"; 236; 237; 1; 3
225; "drive"; 237; 238; 3; 6
226; "wait"; 238; 239; 1; 3
227; "drive"; 239; 240; 1; 5
228; "wait"; 240; 241; 1; 3
229; "drive"; 241; 242; 1; 5
230; "wait"; 242; 243; 1; 3
231; "drive"; 243; 244; 1; 5
232; "wait"; 244; 245; 1; 3
233; "drive"; 245; 246; 1; 5
234; "wait"; 246; 247; 1; 3
235; "drive"; 247; 248; 1; 5
236; "drive"; 249; 250; 3; 6
237; "wait"; 250; 251; 1; 3
238; "drive"; 251; 252; 3; 6
239; "wait"; 252; 253; 1; 3
240; "drive"; 253; 254; 3; 6
241; "wait"; 254; 255; 1; 3
242; "drive"; 255; 256; 1; 5
243; "wait"; 256; 257; 1; 3
244; "drive"; 257; 258; 1; 5
245; "wait"; 258; 259; 1; 3
246; "drive"; 259; 260; 1; 5
247; "wait"; 260; 261; 1; 3
248; "drive"; 261; 262; 1; 5
249; "wait"; 262; 263; 1; 3
250; "drive"; 263; 264; 1; 5
251; "drive"; 265; 266; 1; 5
252; "wait"; 266; 267; 1; 3
253; "drive"; 267; 268; 1; 5
254; "wait"; 268; 269; 1; 3
255; "drive"; 269; 270; 1; 5
256; "wait"; 270; 271; 1; 3
257; "drive"; 271; 272; 1; 5
258; "wait"; 272; 273; 1; 3
259; "drive"; 273; 274; 1; 5
260; "wait"; 274; 275; 1; 3
261; "drive"; 275; 276; 3; 6
262; "wait"; 276; 277; 1; 3
263; "drive"; 277; 278; 3; 6
264; "wait"; 278; 279; 1; 3
265; "drive"; 279; 280; 3; 6
266; "drive"; 281; 282; 1; 5
267; "wait"; 282; 283; 1; 3
268; "drive"; 283; 284; 1; 5
269; "wait"; 284; 285; 1; 3
270; "drive"; 285; 286; 1; 5
271; "wait"; 286; 287; 1; 3
272; "drive"; 287; 288; 1; 5
273; "wait"; 288; 289; 1; 3
274; "drive"; 289; 290; 1; 5
275; "wait"; 290; 291; 1; 3
276; "drive"; 291; 292; 3; 6
277; "wait"; 292; 293; 1; 3
278; "drive"; 293; 294; 3; 6
279; "wait"; 294; 295; 1; 3
280; "drive"; 295; 296; 3; 6
281; "drive"; 297; 298; 1; 5
282; "wait"; 298; 299; 1; 3
283; "drive"; 299; 300; 1; 5
284; "wait"; 300; 301; 1; 3
285; "drive"; 301; 302; 1; 5
286; "wait"; 302; 303; 1; 3
287; "drive"; 303; 304; 1; 5
288; "wait"; 304; 305; 1; 3
289; "drive"; 305; 306; 1; 5
290; "wait"; 306; 307; 1; 3
291; "drive"; 307; 308; 3; 6
292; "wait"; 308; 309; 1; 3
293; "drive"; 309; 310; 3; 6
294; "wait"; 310; 311; 1; 3
295; "drive"; 311; 312; 3; 6
296; "drive"; 313; 314; 3; 6
297; "wait"; 314; 315; 1; 3
298; "drive"; 315; 316; 3; 6
299; "wait"; 316; 317; 1; 3
300; "drive"; 317; 318; 3; 6
301; "wait"; 318; 319; 1; 3
302; "drive"; 319; 320; 1; 5
303; "wait"; 320; 321; 1; 3
304; "drive"; 321; 322; 1; 5
305; "wait"; 322; 323; 1; 3
306; "drive"; 323; 324; 1; 5
307; "wait"; 324; 325; 1; 3
308; "drive"; 325; 326; 1; 5
309; "wait"; 326; 327; 1; 3
310; "drive"; 327; 328; 1; 5
311; "drive"; 329; 330; 3; 6
312; "wait"; 330; 331; 1; 3
313; "drive"; 331; 332; 3; 6
314; "wait"; 332; 333; 1; 3
315; "drive"; 333; 334; 3; 6
316; "wait"; 334; 335; 1; 3
317; "drive"; 335; 336; 3; 6
318; "wait"; 336; 337; 1; 3
319; "drive"; 337; 338; 3; 6
320; "wait"; 338; 339; 1; 3
321; "drive"; 339; 340; 1; 5
322; "wait"; 340; 341; 1; 3
323; "drive"; 341; 342; 1; 5
324; "drive"; 343; 344; 3; 6
325; "wait"; 344; 345; 1; 3
326; "drive"; 345; 346; 3; 6
327; "wait"; 346; 347; 1; 3
328; "drive"; 347; 348; 3; 6
329; "wait"; 348; 349; 1; 3
330; "drive"; 349; 350; 3; 6
331; "wait"; 350; 351; 1; 3
332; "drive"; 351; 352; 3; 6
333; "wait"; 352; 353; 1; 3
334; "drive"; 353; 354; 1; 5
335; "wait"; 354; 355; 1; 3
336; "drive"; 355; 356; 1; 5
337; "drive"; 357; 358; 1; 5
338; "wait"; 358; 359; 1; 3
339; "drive"; 359; 360; 1; 5
340; "wait"; 360; 361; 1; 3
341; "drive"; 361; 362; 3; 6
342; "wait"; 362; 363; 1; 3
343; "drive"; 363; 364; 3; 6
344; "wait"; 364; 365; 1; 3
345; "drive"; 365; 366; 3; 6
346; "wait"; 366; 367; 1; 3
347; "drive"; 367; 368; 3; 6
348; "wait"; 368; 369; 1; 3
349; "drive"; 369; 370; 3; 6
350; "drive"; 371; 372; 1; 5
351; "wait"; 372; 373; 1; 3
352; "drive"; 373; 374; 1; 5
353; "wait"; 374; 375; 1; 3
354; "drive"; 375; 376; 3; 6
355; "wait"; 376; 377; 1; 3
356; "drive"; 377; 378; 3; 6
357; "wait"; 378; 379; 1; 3
358; "drive"; 379; 380; 3; 6
359; "wait"; 380; 381; 1; 3
360; "drive"; 381; 382; 3; 6
361; "wait"; 382; 383; 1; 3
362; "drive"; 383; 384; 3; 6
363; "drive"; 385; 386; 3; 6
364; "wait"; 386; 387; 1; 3
365; "drive"; 387; 388; 3; 6
366; "wait"; 388; 389; 1; 3
367; "drive"; 389; 390; 3; 6
368; "wait"; 390; 391; 1; 3
369; "drive"; 391; 392; 3; 6
370; "wait"; 392; 393; 1; 3
371; "drive"; 393; 394; 3; 6
372; "wait"; 394; 395; 1; 3
373; "drive"; 395; 396; 3; 6
374; "drive"; 397; 398; 3; 6
375; "wait"; 398; 399; 1; 3
376; "drive"; 399; 400; 3; 6
377; "wait"; 400; 401; 1; 3
378; "drive"; 401; 402; 3; 6
379; "wait"; 402; 403; 1; 3
380; "drive"; 403; 404; 3; 6
381; "wait"; 404; 405; 1; 3
382; "drive"; 405; 406; 3; 6
383; "wait"; 406; 407; 1; 3
384; "drive"; 407; 408; 3; 6
385; "drive"; 409; 410; 3; 6
386; "drive"; 411; 412; 3; 6
387; "sync"; 1; 25; 30; 30
388; "sync"; 2; 26; 30; 30
389; "sync"; 3; 27; 30; 30
390; "sync"; 4; 28; 30; 30
391; "sync"; 5; 29; 30; 30
392; "sync"; 6; 30; 30; 30
393; "sync"; 7; 31; 30; 30
394; "sync"; 8; 32; 30; 30
395; "sync"; 9; 33; 30; 30
396; "sync"; 10; 34; 30; 30
397; "sync"; 11; 35; 30; 30
398; "sync"; 12; 36; 30; 30
399; "sync"; 13; 37; 30; 30
400; "sync"; 14; 38; 30; 30
401; "sync"; 15; 39; 30; 30
402; "sync"; 16; 40; 30; 30
403; "sync"; 17; 41; 30; 30
404; "sync"; 18; 42; 30; 30
405; "sync"; 19; 43; 30; 30
406; "sync"; 20; 44; 30; 30
407; "sync"; 21; 45; 30; 30
408; "sync"; 22; 46; 30; 30
409; "sync"; 23; 47; 30; 30
410; "sync"; 24; 48; 30; 30
411; "sync"; 49; 73; 30; 30
412; "sync"; 50; 74; 30; 30
413; "sync"; 51; 75; 30; 30
414; "sync"; 52; 76; 30; 30
415; "sync"; 53; 77; 30; 30
416; "sync"; 54; 78; 30; 30
417; "sync"; 55; 79; 30; 30
418; "sync"; 56; 80; 30; 30
419; "sync"; 57; 81; 30; 30
420; "sync"; 58; 82; 30; 30
421; "sync"; 59; 83; 30; 30
422; "sync"; 60; 84; 30; 30
423; "sync"; 61; 85; 30; 30
424; "sync"; 62; 86; 30; 30
425; "sync"; 63; 87; 30; 30
426; "sync"; 64; 88; 30; 30
427; "sync"; 65; 89; 30; 30
428; "sync"; 66; 90; 30; 30
429; "sync"; 67; 91; 30; 30
430; "sync"; 68; 92; 30; 30
431; "sync"; 69; 93; 30; 30
432; "sync"; 70; 94; 30; 30
433; "sync"; 71; 95; 30; 30
434; "sync"; 72; 96; 30; 30
435; "sync"; 97; 115; 30; 30
436; "sync"; 98; 116; 30; 30
437; "sync"; 99; 117; 30; 30
438; "sync"; 100; 118; 30; 30
439; "sync"; 101; 119; 30; 30
440; "sync"; 102; 120; 30; 30
441; "sync"; 103; 121; 30; 30
442; "sync"; 104; 122; 30; 30
443; "sync"; 105; 123; 30; 30
444; "sync"; 106; 124; 30; 30
445; "sync"; 107; 125; 30; 30
446; "sync"; 108; 126; 30; 30
447; "sync"; 109; 127; 30; 30
448; "sync"; 110; 128; 30; 30
449; "sync"; 111; 129; 30; 30
450; "sync"; 112; 130; 30; 30
451; "sync"; 113; 131; 30; 30
452; "sync"; 114; 132; 30; 30
453; "sync"; 133; 151; 30; 30
454; "sync"; 134; 152; 30; 30
455; "sync"; 135; 153; 30; 30
456; "sync"; 136; 154; 30; 30
457; "sync"; 137; 155; 30; 30
458; "sync"; 138; 156; 30; 30
459; "sync"; 139; 157; 30; 30
460; "sync"; 140; 158; 30; 30
461; "sync"; 141; 159; 30; 30
462; "sync"; 142; 160; 30; 30
463; "sync"; 143; 161; 30; 30
464; "sync"; 144; 162; 30; 30
465; "sync"; 145; 163; 30; 30
466; "sync"; 146; 164; 30; 30
467; "sync"; 147; 165; 30; 30
468; "sync"; 148; 166; 30; 30
469; "sync"; 149; 167; 30; 30
470; "sync"; 150; 168; 30; 30
471; "sync"; 169; 185; 30; 30
472; "sync"; 170; 186; 30; 30
473; "sync"; 171; 187; 30; 30
474; "sync"; 172; 188; 30; 30
475; "sync"; 173; 189; 30; 30
476; "sync"; 174; 190; 30; 30
477; "sync"; 175; 191; 30; 30
478; "sync"; 176; 192; 30; 30
479; "sync"; 177; 193; 30; 30
480; "sync"; 178; 194; 30; 30
481; "sync"; 179; 195; 30; 30
482; "sync"; 180; 196; 30; 30
483; "sync"; 181; 197; 30; 30
484; "sync"; 182; 198; 30; 30
485; "sync"; 183; 199; 30; 30
486; "sync"; 184; 200; 30; 30
487; "sync"; 201; 217; 30; 30
488; "sync"; 202; 218; 30; 30
489; "sync"; 203; 219; 30; 30
490; "sync"; 204; 220; 30; 30
491; "sync"; 205; 221; 30; 30
492; "sync"; 206; 222; 30; 30
493; "sync"; 207; 223; 30; 30
494; "sync"; 208; 224; 30; 30
495; "sync"; 209; 225; 30; 30
496; "sync"; 210; 226; 30; 30
497; "sync"; 211; 227; 30; 30
498; "sync"; 212; 228; 30; 30
499; "sync"; 213; 229; 30; 30
500; "sync"; 214; 230; 30; 30
501; "sync"; 215; 231; 30; 30
502; "sync"; 216; 232; 30; 30
503; "sync"; 233; 249; 30; 30
504; "sync"; 234; 250; 30; 30
505; "sync"; 235; 251; 30; 30
506; "sync"; 236; 252; 30; 30
507; "sync"; 237; 253; 30; 30
508; "sync"; 238; 254; 30; 30
509; "sync"; 239; 255; 30; 30
510; "sync"; 240; 256; 30; 30
511; "sync"; 241; 257; 30; 30
512; "sync"; 242; 258; 30; 30
513; "sync"; 243; 259; 30; 30
514; "sync"; 244; 260; 30; 30
515; "sync"; 245; 261; 30; 30
516; "sync"; 246; 262; 30; 30
517; "sync"; 247; 263; 30; 30
518; "sync"; 248; 264; 30; 30
519; "sync"; 265; 281; 30; 30
520; "sync"; 266; 282; 30; 30
521; "sync"; 267; 283; 30; 30
522; "sync"; 268; 284; 30; 30
523; "sync"; 269; 285; 30; 30
524; "sync"; 270; 286; 30; 30
525; "sync"; 271; 287; 30; 30
526; "sync"; 272; 288; 30; 30
527; "sync"; 273; 289; 30; 30
528; "sync"; 274; 290; 30; 30
529; "sync"; 275; 291; 30; 30
530; "sync"; 276; 292; 30; 30
531; "sync"; 277; 293; 30; 30
532; "sync"; 278; 294; 30; 30
533; "sync"; 279; 295; 30; 30
534; "sync"; 280; 296; 30; 30
535; "sync"; 329; 343; 30; 30
536; "sync"; 330; 344; 30; 30
537; "sync"; 331; 345; 30; 30
538; "sync"; 332; 346; 30; 30
539; "sync"; 333; 347; 30; 30
540; "sync"; 334; 348; 30; 30
541; "sync"; 335; 349; 30; 30
542; "sync"; 336; 350; 30; 30
543; "sync"; 337; 351; 30; 30
544; "sync"; 338; 352; 30; 30
545; "sync"; 339; 353; 30; 30
546; "sync"; 340; 354; 30; 30
547; "sync"; 341; 355; 30; 30
548; "sync"; 342; 356; 30; 30
549; "sync"; 357; 371; 30; 30
550; "sync"; 358; 372; 30; 30
551; "sync"; 359; 373; 30; 30
552; "sync"; 360; 374; 30; 30
553; "sync"; 361; 375; 30; 30
554; "sync"; 362; 376; 30; 30
555; "sync"; 363; 377; 30; 30
556; "sync"; 364; 378; 30; 30
557; "sync"; 365; 379; 30; 30
558; "sync"; 366; 380; 30; 30
559; "sync"; 367; 381; 30; 30
560; "sync"; 368; 382; 30; 30
561; "sync"; 369; 383; 30; 30
562; "sync"; 370; 384; 30; 30
563; "change"; 2; 311; 1; 60
564; "change"; 2; 315; 1; 60
565; "change"; 2; 339; 1; 60
566; "change"; 2; 353; 1; 60
567; "change"; 2; 361; 1; 60
568; "change"; 2; 375; 1; 60
569; "change"; 2; 395; 1; 60
570; "change"; 2; 399; 1; 60
571; "change"; 16; 265; 1; 60
572; "change"; 16; 281; 1; 60
573; "change"; 16; 297; 1; 60
574; "change"; 18; 247; 1; 60
575; "change"; 18; 263; 1; 60
576; "change"; 18; 267; 1; 60
577; "change"; 18; 283; 1; 60
578; "change"; 18; 299; 1; 60
579; "change"; 18; 327; 1; 60
580; "change"; 26; 311; 1; 60
581; "change"; 26; 315; 1; 60
582; "change"; 26; 339; 1; 60
583; "change"; 26; 353; 1; 60
584; "change"; 26; 361; 1; 60
585; "change"; 26; 375; 1; 60
586; "change"; 26; 395; 1; 60
587; "change"; 26; 399; 1; 60
588; "change"; 40; 265; 1; 60
589; "change"; 40; 281; 1; 60
590; "change"; 40; 297; 1; 60
591; "change"; 42; 247; 1; 60
592; "change"; 42; 263; 1; 60
593; "change"; 42; 267; 1; 60
594; "change"; 42; 283; 1; 60
595; "change"; 42; 299; 1; 60
596; "change"; 42; 327; 1; 60
597; "change"; 54; 247; 1; 60
598; "change"; 54; 263; 1; 60
599; "change"; 54; 267; 1; 60
600; "change"; 54; 283; 1; 60
601; "change"; 54; 299; 1; 60
602; "change"; 54; 327; 1; 60
603; "change"; 56; 265; 1; 60
604; "change"; 56; 281; 1; 60
605; "change"; 56; 297; 1; 60
606; "change"; 70; 311; 1; 60
607; "change"; 70; 315; 1; 60
608; "change"; 70; 339; 1; 60
609; "change"; 70; 353; 1; 60
610; "change"; 70; 361; 1; 60
611; "change"; 70; 375; 1; 60
612; "change"; 70; 395; 1; 60
613; "change"; 70; 399; 1; 60
614; "change"; 72; 309; 1; 60
615; "change"; 72; 317; 1; 60
616; "change"; 72; 337; 1; 60
617; "change"; 72; 351; 1; 60
618; "change"; 72; 363; 1; 60
619; "change"; 72; 377; 1; 60
620; "change"; 72; 393; 1; 60
621; "change"; 72; 401; 1; 60
622; "change"; 78; 247; 1; 60
623; "change"; 78; 263; 1; 60
624; "change"; 78; 267; 1; 60
625; "change"; 78; 283; 1; 60
626; "change"; 78; 299; 1; 60
627; "change"; 78; 327; 1; 60
628; "change"; 80; 265; 1; 60
629; "change"; 80; 281; 1; 60
630; "change"; 80; 297; 1; 60
631; "change"; 94; 311; 1; 60
632; "change"; 94; 315; 1; 60
633; "change"; 94; 339; 1; 60
634; "change"; 94; 353; 1; 60
635; "change"; 94; 361; 1; 60
636; "change"; 94; 375; 1; 60
637; "change"; 94; 395; 1; 60
638; "change"; 94; 399; 1; 60
639; "change"; 96; 309; 1; 60
640; "change"; 96; 317; 1; 60
641; "change"; 96; 337; 1; 60
642; "change"; 96; 351; 1; 60
643; "change"; 96; 363; 1; 60
644; "change"; 96; 377; 1; 60
645; "change"; 96; 393; 1; 60
646; "change"; 96; 401; 1; 60
647; "change"; 98; 171; 1; 60
648; "change"; 98; 187; 1; 60
649; "change"; 98; 215; 1; 60
650; "change"; 98; 231; 1; 60
651; "change"; 100; 173; 1; 60
652; "change"; 100; 189; 1; 60
653; "change"; 100; 213; 1; 60
654; "change"; 100; 229; 1; 60
655; "change"; 102; 175; 1; 60
656; "change"; 102; 191; 1; 60
657; "change"; 102; 211; 1; 60
658; "change"; 102; 227; 1; 60
659; "change"; 112; 235; 1; 60
660; "change"; 112; 251; 1; 60
661; "change"; 112; 279; 1; 60
662; "change"; 112; 295; 1; 60
663; "change"; 112; 331; 1; 60
664; "change"; 112; 345; 1; 60
665; "change"; 112; 369; 1; 60
666; "change"; 112; 383; 1; 60
667; "change"; 112; 387; 1; 60
668; "change"; 112; 407; 1; 60
669; "change"; 112; 411; 1; 60
670; "change"; 114; 233; 1; 60
671; "change"; 114; 249; 1; 60
672; "change"; 114; 329; 1; 60
673; "change"; 114; 343; 1; 60
674; "change"; 114; 385; 1; 60
675; "change"; 116; 171; 1; 60
676; "change"; 116; 187; 1; 60
677; "change"; 116; 215; 1; 60
678; "change"; 116; 231; 1; 60
679; "change"; 118; 173; 1; 60
680; "change"; 118; 189; 1; 60
681; "change"; 118; 213; 1; 60
682; "change"; 118; 229; 1; 60
683; "change"; 120; 175; 1; 60
684; "change"; 120; 191; 1; 60
685; "change"; 120; 211; 1; 60
686; "change"; 120; 227; 1; 60
687; "change"; 130; 235; 1; 60
688; "change"; 130; 251; 1; 60
689; "change"; 130; 279; 1; 60
690; "change"; 130; 295; 1; 60
691; "change"; 130; 331; 1; 60
692; "change"; 130; 345; 1; 60
693; "change"; 130; 369; 1; 60
694; "change"; 130; 383; 1; 60
695; "change"; 130; 387; 1; 60
696; "change"; 130; 407; 1; 60
697; "change"; 130; 411; 1; 60
698; "change"; 132; 233; 1; 60
699; "change"; 132; 249; 1; 60
700; "change"; 132; 329; 1; 60
701; "change"; 132; 343; 1; 60
702; "change"; 132; 385; 1; 60
703; "change"; 134; 235; 1; 60
704; "change"; 134; 251; 1; 60
705; "change"; 134; 279; 1; 60
706; "change"; 134; 295; 1; 60
707; "change"; 134; 331; 1; 60
708; "change"; 134; 345; 1; 60
709; "change"; 134; 369; 1; 60
710; "change"; 134; 383; 1; 60
711; "change"; 134; 387; 1; 60
712; "change"; 134; 407; 1; 60
713; "change"; 134; 411; 1; 60
714; "change"; 144; 175; 1; 60
715; "change"; 144; 191; 1; 60
716; "change"; 144; 211; 1; 60
717; "change"; 144; 227; 1; 60
718; "change"; 146; 173; 1; 60
719; "change"; 146; 189; 1; 60
720; "change"; 146; 213; 1; 60
721; "change"; 146; 229; 1; 60
722; "change"; 148; 171; 1; 60
723; "change"; 148; 187; 1; 60
724; "change"; 148; 215; 1; 60
725; "change"; 148; 231; 1; 60
726; "change"; 150; 169; 1; 60
727; "change"; 150; 185; 1; 60
728; "change"; 152; 235; 1; 60
729; "change"; 152; 251; 1; 60
730; "change"; 152; 279; 1; 60
731; "change"; 152; 295; 1; 60
732; "change"; 152; 331; 1; 60
733; "change"; 152; 345; 1; 60
734; "change"; 152; 369; 1; 60
735; "change"; 152; 383; 1; 60
736; "change"; 152; 387; 1; 60
737; "change"; 152; 407; 1; 60
738; "change"; 152; 411; 1; 60
739; "change"; 162; 175; 1; 60
740; "change"; 162; 191; 1; 60
741; "change"; 162; 211; 1; 60
742; "change"; 162; 227; 1; 60
743; "change"; 164; 173; 1; 60
