# activity_index;   type;   from_event;   to_event;   lower_bound;   upper_bound
111; "drive"; 113; 114; 32; 48
112; "wait"; 114; 115; 20; 319
113; "drive"; 115; 116; 24; 36
114; "wait"; 116; 117; 20; 319
115; "drive"; 117; 118; 32; 48
116; "wait"; 118; 119; 20; 319
117; "drive"; 119; 120; 48; 72
118; "wait"; 120; 121; 20; 319
119; "drive"; 121; 122; 32; 48
120; "wait"; 122; 123; 20; 319
121; "drive"; 123; 124; 40; 60
122; "wait"; 124; 125; 20; 319
123; "drive"; 125; 126; 24; 36
124; "wait"; 126; 127; 20; 319
125; "drive"; 127; 128; 40; 60
126; "wait"; 128; 129; 20; 319
127; "drive"; 129; 130; 32; 48
128; "wait"; 130; 131; 20; 319
129; "drive"; 131; 132; 24; 36
130; "wait"; 132; 133; 20; 319
131; "drive"; 133; 134; 40; 60
132; "wait"; 134; 135; 20; 319
133; "drive"; 135; 136; 48; 72
134; "wait"; 136; 137; 20; 319
135; "drive"; 137; 138; 56; 84
136; "drive"; 139; 140; 32; 48
137; "wait"; 140; 141; 20; 319
138; "drive"; 141; 142; 40; 60
139; "wait"; 142; 143; 20; 319
140; "drive"; 143; 144; 48; 72
141; "wait"; 144; 145; 20; 319
142; "drive"; 145; 146; 32; 48
143; "wait"; 146; 147; 20; 319
144; "drive"; 147; 148; 40; 60
145; "wait"; 148; 149; 20; 319
146; "drive"; 149; 150; 40; 60
147; "wait"; 150; 151; 20; 319
148; "drive"; 151; 152; 24; 36
149; "wait"; 152; 153; 20; 319
150; "drive"; 153; 154; 24; 36
151; "wait"; 154; 155; 20; 319
152; "drive"; 155; 156; 40; 60
153; "wait"; 156; 157; 20; 319
154; "drive"; 157; 158; 24; 36
155; "wait"; 158; 159; 20; 319
156; "drive"; 159; 160; 32; 48
157; "wait"; 160; 161; 20; 319
158; "drive"; 161; 162; 24; 36
159; "wait"; 162; 163; 20; 319
160; "drive"; 163; 164; 32; 48
161; "wait"; 164; 165; 20; 319
162; "drive"; 165; 166; 48; 72
163; "wait"; 166; 167; 20; 319
164; "drive"; 167; 168; 32; 48
165; "wait"; 168; 169; 20; 319
166; "drive"; 169; 170; 40; 60
167; "wait"; 170; 171; 20; 319
168; "drive"; 171; 172; 24; 36
169; "wait"; 172; 173; 20; 319
170; "drive"; 173; 174; 40; 60
171; "wait"; 174; 175; 20; 319
172; "drive"; 175; 176; 32; 48
173; "wait"; 176; 177; 20; 319
174; "drive"; 177; 178; 24; 36
175; "wait"; 178; 179; 20; 319
176; "drive"; 179; 180; 40; 60
177; "wait"; 180; 181; 20; 319
178; "drive"; 181; 182; 48; 72
179; "wait"; 182; 183; 20; 319
180; "drive"; 183; 184; 56; 84
181; "drive"; 185; 186; 56; 84
182; "wait"; 186; 187; 20; 319
183; "drive"; 187; 188; 48; 72
184; "wait"; 188; 189; 20; 319
185; "drive"; 189; 190; 40; 60
186; "wait"; 190; 191; 20; 319
187; "drive"; 191; 192; 24; 36
188; "wait"; 192; 193; 20; 319
189; "drive"; 193; 194; 32; 48
190; "wait"; 194; 195; 20; 319
191; "drive"; 195; 196; 40; 60
192; "wait"; 196; 197; 20; 319
193; "drive"; 197; 198; 24; 36
194; "wait"; 198; 199; 20; 319
195; "drive"; 199; 200; 40; 60
196; "wait"; 200; 201; 20; 319
197; "drive"; 201; 202; 32; 48
198; "wait"; 202; 203; 20; 319
199; "drive"; 203; 204; 48; 72
200; "wait"; 204; 205; 20; 319
201; "drive"; 205; 206; 32; 48
202; "wait"; 206; 207; 20; 319
203; "drive"; 207; 208; 24; 36
204; "wait"; 208; 209; 20; 319
205; "drive"; 209; 210; 32; 48
206; "wait"; 210; 211; 20; 319
207; "drive"; 211; 212; 24; 36
208; "wait"; 212; 213; 20; 319
209; "drive"; 213; 214; 40; 60
210; "wait"; 214; 215; 20; 319
211; "drive"; 215; 216; 24; 36
212; "wait"; 216; 217; 20; 319
213; "drive"; 217; 218; 24; 36
214; "wait"; 218; 219; 20; 319
215; "drive"; 219; 220; 40; 60
216; "wait"; 220; 221; 20; 319
217; "drive"; 221; 222; 40; 60
218; "wait"; 222; 223; 20; 319
219; "drive"; 223; 224; 32; 48
220; "wait"; 224; 225; 20; 319
221; "drive"; 225; 226; 48; 72
222; "wait"; 226; 227; 20; 319
223; "drive"; 227; 228; 40; 60
224; "wait"; 228; 229; 20; 319
225; "drive"; 229; 230; 32; 48
226; "drive"; 231; 232; 56; 84
227; "wait"; 232; 233; 20; 319
228; "drive"; 233; 234; 48; 72
229; "wait"; 234; 235; 20; 319
230; "drive"; 235; 236; 40; 60
231; "wait"; 236; 237; 20; 319
232; "drive"; 237; 238; 24; 36
233; "wait"; 238; 239; 20; 319
234; "drive"; 239; 240; 32; 48
235; "wait"; 240; 241; 20; 319
236; "drive"; 241; 242; 40; 60
237; "wait"; 242; 243; 20; 319
238; "drive"; 243; 244; 24; 36
239; "wait"; 244; 245; 20; 319
240; "drive"; 245; 246; 40; 60
241; "wait"; 246; 247; 20; 319
242; "drive"; 247; 248; 32; 48
243; "wait"; 248; 249; 20; 319
244; "drive"; 249; 250; 48; 72
245; "wait"; 250; 251; 20; 319
246; "drive"; 251; 252; 32; 48
247; "wait"; 252; 253; 20; 319
248; "drive"; 253; 254; 24; 36
249; "wait"; 254; 255; 20; 319
250; "drive"; 255; 256; 32; 48
251; "wait"; 256; 257; 20; 319
252; "drive"; 257; 258; 24; 36
253; "wait"; 258; 259; 20; 319
254; "drive"; 259; 260; 40; 60
255; "wait"; 260; 261; 20; 319
256; "drive"; 261; 262; 24; 36
257; "wait"; 262; 263; 20; 319
258; "drive"; 263; 264; 24; 36
259; "wait"; 264; 265; 20; 319
260; "drive"; 265; 266; 40; 60
261; "wait"; 266; 267; 20; 319
262; "drive"; 267; 268; 40; 60
263; "wait"; 268; 269; 20; 319
264; "drive"; 269; 270; 32; 48
265; "wait"; 270; 271; 20; 319
266; "drive"; 271; 272; 48; 72
267; "wait"; 272; 273; 20; 319
268; "drive"; 273; 274; 40; 60
269; "wait"; 274; 275; 20; 319
270; "drive"; 275; 276; 32; 48
271; "drive"; 277; 278; 56; 84
272; "wait"; 278; 279; 20; 319
273; "drive"; 279; 280; 48; 72
274; "wait"; 280; 281; 20; 319
275; "drive"; 281; 282; 40; 60
276; "wait"; 282; 283; 20; 319
277; "drive"; 283; 284; 24; 36
278; "wait"; 284; 285; 20; 319
279; "drive"; 285; 286; 32; 48
280; "wait"; 286; 287; 20; 319
281; "drive"; 287; 288; 40; 60
282; "wait"; 288; 289; 20; 319
283; "drive"; 289; 290; 24; 36
284; "wait"; 290; 291; 20; 319
285; "drive"; 291; 292; 40; 60
286; "wait"; 292; 293; 20; 319
287; "drive"; 293; 294; 32; 48
288; "wait"; 294; 295; 20; 319
289; "drive"; 295; 296; 48; 72
290; "wait"; 296; 297; 20; 319
291; "drive"; 297; 298; 32; 48
292; "wait"; 298; 299; 20; 319
293; "drive"; 299; 300; 24; 36
294; "wait"; 300; 301; 20; 319
295; "drive"; 301; 302; 32; 48
296; "wait"; 302; 303; 20; 319
297; "drive"; 303; 304; 24; 36
298; "wait"; 304; 305; 20; 319
299; "drive"; 305; 306; 40; 60
300; "wait"; 306; 307; 20; 319
301; "drive"; 307; 308; 24; 36
302; "wait"; 308; 309; 20; 319
303; "drive"; 309; 310; 24; 36
304; "wait"; 310; 311; 20; 319
305; "drive"; 311; 312; 40; 60
306; "wait"; 312; 313; 20; 319
307; "drive"; 313; 314; 40; 60
308; "wait"; 314; 315; 20; 319
309; "drive"; 315; 316; 32; 48
310; "wait"; 316; 317; 20; 319
311; "drive"; 317; 318; 48; 72
312; "wait"; 318; 319; 20; 319
313; "drive"; 319; 320; 40; 60
314; "wait"; 320; 321; 20; 319
315; "drive"; 321; 322; 32; 48
316; "drive"; 323; 324; 56; 84
317; "wait"; 324; 325; 20; 319
318; "drive"; 325; 326; 48; 72
319; "wait"; 326; 327; 20; 319
320; "drive"; 327; 328; 40; 60
321; "wait"; 328; 329; 20; 319
322; "drive"; 329; 330; 24; 36
323; "wait"; 330; 331; 20; 319
324; "drive"; 331; 332; 32; 48
325; "wait"; 332; 333; 20; 319
326; "drive"; 333; 334; 40; 60
327; "wait"; 334; 335; 20; 319
328; "drive"; 335; 336; 24; 36
329; "wait"; 336; 337; 20; 319
330; "drive"; 337; 338; 40; 60
331; "wait"; 338; 339; 20; 319
332; "drive"; 339; 340; 32; 48
333; "wait"; 340; 341; 20; 319
334; "drive"; 341; 342; 48; 72
335; "wait"; 342; 343; 20; 319
336; "drive"; 343; 344; 32; 48
337; "wait"; 344; 345; 20; 319
338; "drive"; 345; 346; 24; 36
339; "wait"; 346; 347; 20; 319
340; "drive"; 347; 348; 32; 48
341; "wait"; 348; 349; 20; 319
342; "drive"; 349; 350; 24; 36
343; "wait"; 350; 351; 20; 319
344; "drive"; 351; 352; 40; 60
345; "wait"; 352; 353; 20; 319
346; "drive"; 353; 354; 24; 36
347; "wait"; 354; 355; 20; 319
348; "drive"; 355; 356; 24; 36
349; "wait"; 356; 357; 20; 319
350; "drive"; 357; 358; 40; 60
351; "wait"; 358; 359; 20; 319
352; "drive"; 359; 360; 40; 60
353; "wait"; 360; 361; 20; 319
354; "drive"; 361; 362; 32; 48
355; "wait"; 362; 363; 20; 319
356; "drive"; 363; 364; 48; 72
357; "wait"; 364; 365; 20; 319
358; "drive"; 365; 366; 40; 60
359; "wait"; 366; 367; 20; 319
360; "drive"; 367; 368; 32; 48
361; "drive"; 369; 370; 30; 46
362; "wait"; 370; 371; 20; 319
363; "drive"; 371; 372; 30; 46
364; "wait"; 372; 373; 20; 319
365; "drive"; 373; 374; 24; 36
366; "wait"; 374; 375; 20; 319
367; "drive"; 375; 376; 20; 32
368; "wait"; 376; 377; 20; 319
369; "drive"; 377; 378; 20; 32
370; "wait"; 378; 379; 20; 319
371; "drive"; 379; 380; 22; 34
372; "wait"; 380; 381; 20; 319
373; "drive"; 381; 382; 26; 38
374; "wait"; 382; 383; 20; 319
375; "drive"; 383; 384; 28; 40
376; "wait"; 384; 385; 20; 319
377; "drive"; 385; 386; 22; 34
378; "wait"; 386; 387; 20; 319
379; "drive"; 387; 388; 28; 40
380; "wait"; 388; 389; 20; 319
381; "drive"; 389; 390; 20; 28
382; "wait"; 390; 391; 20; 319
383; "drive"; 391; 392; 24; 36
384; "wait"; 392; 393; 20; 319
385; "drive"; 393; 394; 22; 34
386; "drive"; 395; 396; 30; 46
387; "wait"; 396; 397; 20; 319
388; "drive"; 397; 398; 30; 46
389; "wait"; 398; 399; 20; 319
390; "drive"; 399; 400; 24; 36
391; "wait"; 400; 401; 20; 319
392; "drive"; 401; 402; 20; 32
393; "wait"; 402; 403; 20; 319
394; "drive"; 403; 404; 20; 32
395; "wait"; 404; 405; 20; 319
396; "drive"; 405; 406; 22; 34
397; "wait"; 406; 407; 20; 319
398; "drive"; 407; 408; 26; 38
399; "wait"; 408; 409; 20; 319
400; "drive"; 409; 410; 28; 40
401; "wait"; 410; 411; 20; 319
402; "drive"; 411; 412; 22; 34
403; "wait"; 412; 413; 20; 319
404; "drive"; 413; 414; 28; 40
405; "wait"; 414; 415; 20; 319
406; "drive"; 415; 416; 20; 28
407; "wait"; 416; 417; 20; 319
408; "drive"; 417; 418; 24; 36
409; "wait"; 418; 419; 20; 319
410; "drive"; 419; 420; 22; 34
411; "drive"; 421; 422; 30; 46
412; "wait"; 422; 423; 20; 319
413; "drive"; 423; 424; 30; 46
414; "wait"; 424; 425; 20; 319
415; "drive"; 425; 426; 24; 36
416; "wait"; 426; 427; 20; 319
417; "drive"; 427; 428; 20; 32
418; "wait"; 428; 429; 20; 319
419; "drive"; 429; 430; 20; 32
420; "wait"; 430; 431; 20; 319
421; "drive"; 431; 432; 22; 34
422; "wait"; 432; 433; 20; 319
423; "drive"; 433; 434; 26; 38
424; "wait"; 434; 435; 20; 319
425; "drive"; 435; 436; 28; 40
426; "wait"; 436; 437; 20; 319
427; "drive"; 437; 438; 22; 34
428; "wait"; 438; 439; 20; 319
429; "drive"; 439; 440; 28; 40
430; "wait"; 440; 441; 20; 319
431; "drive"; 441; 442; 20; 28
432; "wait"; 442; 443; 20; 319
433; "drive"; 443; 444; 24; 36
434; "wait"; 444; 445; 20; 319
435; "drive"; 445; 446; 22; 34
436; "drive"; 447; 448; 30; 46
437; "wait"; 448; 449; 20; 319
438; "drive"; 449; 450; 30; 46
439; "wait"; 450; 451; 20; 319
440; "drive"; 451; 452; 24; 36
441; "wait"; 452; 453; 20; 319
442; "drive"; 453; 454; 20; 32
443; "wait"; 454; 455; 20; 319
444; "drive"; 455; 456; 20; 32
445; "wait"; 456; 457; 20; 319
446; "drive"; 457; 458; 22; 34
447; "wait"; 458; 459; 20; 319
448; "drive"; 459; 460; 26; 38
449; "wait"; 460; 461; 20; 319
450; "drive"; 461; 462; 28; 40
451; "wait"; 462; 463; 20; 319
452; "drive"; 463; 464; 22; 34
453; "wait"; 464; 465; 20; 319
454; "drive"; 465; 466; 28; 40
455; "wait"; 466; 467; 20; 319
456; "drive"; 467; 468; 20; 28
457; "wait"; 468; 469; 20; 319
458; "drive"; 469; 470; 24; 36
459; "wait"; 470; 471; 20; 319
460; "drive"; 471; 472; 22; 34
461; "drive"; 473; 474; 30; 46
462; "wait"; 474; 475; 20; 319
463; "drive"; 475; 476; 30; 46
464; "wait"; 476; 477; 20; 319
465; "drive"; 477; 478; 24; 36
466; "wait"; 478; 479; 20; 319
467; "drive"; 479; 480; 20; 32
468; "wait"; 480; 481; 20; 319
469; "drive"; 481; 482; 20; 32
470; "wait"; 482; 483; 20; 319
471; "drive"; 483; 484; 22; 34
472; "wait"; 484; 485; 20; 319
473; "drive"; 485; 486; 26; 38
474; "wait"; 486; 487; 20; 319
475; "drive"; 487; 488; 28; 40
476; "wait"; 488; 489; 20; 319
477; "drive"; 489; 490; 22; 34
478; "wait"; 490; 491; 20; 319
479; "drive"; 491; 492; 28; 40
480; "wait"; 492; 493; 20; 319
481; "drive"; 493; 494; 20; 28
482; "wait"; 494; 495; 20; 319
483; "drive"; 495; 496; 24; 36
484; "wait"; 496; 497; 20; 319
485; "drive"; 497; 498; 22; 34
486; "drive"; 499; 500; 22; 34
487; "wait"; 500; 501; 20; 319
488; "drive"; 501; 502; 24; 36
489; "wait"; 502; 503; 20; 319
490; "drive"; 503; 504; 20; 28
491; "wait"; 504; 505; 20; 319
492; "drive"; 505; 506; 28; 40
493; "wait"; 506; 507; 20; 319
494; "drive"; 507; 508; 22; 34
495; "wait"; 508; 509; 20; 319
496; "drive"; 509; 510; 28; 40
497; "wait"; 510; 511; 20; 319
498; "drive"; 511; 512; 26; 38
499; "wait"; 512; 513; 20; 319
500; "drive"; 513; 514; 22; 34
501; "wait"; 514; 515; 20; 319
502; "drive"; 515; 516; 20; 32
503; "wait"; 516; 517; 20; 319
504; "drive"; 517; 518; 20; 32
505; "wait"; 518; 519; 20; 319
506; "drive"; 519; 520; 24; 36
507; "wait"; 520; 521; 20; 319
508; "drive"; 521; 522; 30; 46
509; "wait"; 522; 523; 20; 319
510; "drive"; 523; 524; 30; 46
511; "drive"; 525; 526; 22; 34
512; "wait"; 526; 527; 20; 319
513; "drive"; 527; 528; 24; 36
514; "wait"; 528; 529; 20; 319
515; "drive"; 529; 530; 20; 28
516; "wait"; 530; 531; 20; 319
517; "drive"; 531; 532; 28; 40
518; "wait"; 532; 533; 20; 319
519; "drive"; 533; 534; 22; 34
520; "wait"; 534; 535; 20; 319
521; "drive"; 535; 536; 28; 40
522; "wait"; 536; 537; 20; 319
523; "drive"; 537; 538; 26; 38
524; "wait"; 538; 539; 20; 319
525; "drive"; 539; 540; 22; 34
526; "wait"; 540; 541; 20; 319
527; "drive"; 541; 542; 20; 32
528; "wait"; 542; 543; 20; 319
529; "drive"; 543; 544; 20; 32
530; "wait"; 544; 545; 20; 319
531; "drive"; 545; 546; 24; 36
532; "wait"; 546; 547; 20; 319
533; "drive"; 547; 548; 30; 46
534; "wait"; 548; 549; 20; 319
535; "drive"; 549; 550; 30; 46
536; "drive"; 551; 552; 22; 34
537; "wait"; 552; 553; 20; 319
538; "drive"; 553; 554; 24; 36
539; "wait"; 554; 555; 20; 319
540; "drive"; 555; 556; 20; 28
541; "wait"; 556; 557; 20; 319
542; "drive"; 557; 558; 28; 40
543; "wait"; 558; 559; 20; 319
544; "drive"; 559; 560; 22; 34
545; "wait"; 560; 561; 20; 319
546; "drive"; 561; 562; 28; 40
547; "wait"; 562; 563; 20; 319
548; "drive"; 563; 564; 26; 38
549; "wait"; 564; 565; 20; 319
550; "drive"; 565; 566; 22; 34
551; "wait"; 566; 567; 20; 319
552; "drive"; 567; 568; 20; 32
553; "wait"; 568; 569; 20; 319
554; "drive"; 569; 570; 20; 32
555; "wait"; 570; 571; 20; 319
556; "drive"; 571; 572; 24; 36
557; "wait"; 572; 573; 20; 319
558; "drive"; 573; 574; 30; 46
559; "wait"; 574; 575; 20; 319
560; "drive"; 575; 576; 30; 46
561; "drive"; 577; 578; 22; 34
562; "wait"; 578; 579; 20; 319
563; "drive"; 579; 580; 24; 36
564; "wait"; 580; 581; 20; 319
565; "drive"; 581; 582; 20; 28
566; "wait"; 582; 583; 20; 319
567; "drive"; 583; 584; 28; 40
568; "wait"; 584; 585; 20; 319
569; "drive"; 585; 586; 22; 34
570; "wait"; 586; 587; 20; 319
571; "drive"; 587; 588; 28; 40
572; "wait"; 588; 589; 20; 319
573; "drive"; 589; 590; 26; 38
574; "wait"; 590; 591; 20; 319
575; "drive"; 591; 592; 22; 34
576; "wait"; 592; 593; 20; 319
577; "drive"; 593; 594; 20; 32
578; "wait"; 594; 595; 20; 319
579; "drive"; 595; 596; 20; 32
580; "wait"; 596; 597; 20; 319
581; "drive"; 597; 598; 24; 36
582; "wait"; 598; 599; 20; 319
583; "drive"; 599; 600; 30; 46
584; "wait"; 600; 601; 20; 319
585; "drive"; 601; 602; 30; 46
586; "drive"; 603; 604; 22; 34
587; "wait"; 604; 605; 20; 319
588; "drive"; 605; 606; 24; 36
589; "wait"; 606; 607; 20; 319
590; "drive"; 607; 608; 20; 28
591; "wait"; 608; 609; 20; 319
592; "drive"; 609; 610; 28; 40
593; "wait"; 610; 611; 20; 319
594; "drive"; 611; 612; 22; 34
595; "wait"; 612; 613; 20; 319
596; "drive"; 613; 614; 28; 40
597; "wait"; 614; 615; 20; 319
598; "drive"; 615; 616; 26; 38
599; "wait"; 616; 617; 20; 319
600; "drive"; 617; 618; 22; 34
601; "wait"; 618; 619; 20; 319
602; "drive"; 619; 620; 20; 32
603; "wait"; 620; 621; 20; 319
604; "drive"; 621; 622; 20; 32
605; "wait"; 622; 623; 20; 319
606; "drive"; 623; 624; 24; 36
607; "wait"; 624; 625; 20; 319
608; "drive"; 625; 626; 30; 46
609; "wait"; 626; 627; 20; 319
610; "drive"; 627; 628; 30; 46
611; "drive"; 629; 630; 24; 36
612; "wait"; 630; 631; 20; 319
613; "drive"; 631; 632; 24; 36
614; "wait"; 632; 633; 20; 319
615; "drive"; 633; 634; 24; 36
616; "wait"; 634; 635; 20; 319
617; "drive"; 635; 636; 36; 56
618; "wait"; 636; 637; 20; 319
619; "drive"; 637; 638; 34; 50
620; "wait"; 638; 639; 20; 319
621; "drive"; 639; 640; 24; 36
622; "wait"; 640; 641; 20; 319
623; "drive"; 641; 642; 28; 40
624; "wait"; 642; 643; 20; 319
625; "drive"; 643; 644; 28; 40
626; "wait"; 644; 645; 20; 319
627; "drive"; 645; 646; 34; 50
628; "wait"; 646; 647; 20; 319
629; "drive"; 647; 648; 26; 38
630; "wait"; 648; 649; 20; 319
631; "drive"; 649; 650; 96; 144
632; "wait"; 650; 651; 20; 319
633; "drive"; 651; 652; 32; 48
634; "drive"; 653; 654; 24; 36
635; "wait"; 654; 655; 20; 319
636; "drive"; 655; 656; 24; 36
637; "wait"; 656; 657; 20; 319
638; "drive"; 657; 658; 24; 36
639; "wait"; 658; 659; 20; 319
640; "drive"; 659; 660; 36; 56
641; "wait"; 660; 661; 20; 319
642; "drive"; 661; 662; 34; 50
643; "wait"; 662; 663; 20; 319
644; "drive"; 663; 664; 24; 36
645; "wait"; 664; 665; 20; 319
646; "drive"; 665; 666; 28; 40
647; "wait"; 666; 667; 20; 319
648; "drive"; 667; 668; 28; 40
649; "wait"; 668; 669; 20; 319
650; "drive"; 669; 670; 34; 50
651; "wait"; 670; 671; 20; 319
652; "drive"; 671; 672; 26; 38
653; "wait"; 672; 673; 20; 319
654; "drive"; 673; 674; 96; 144
655; "wait"; 674; 675; 20; 319
656; "drive"; 675; 676; 32; 48
657; "drive"; 677; 678; 24; 36
658; "wait"; 678; 679; 20; 319
659; "drive"; 679; 680; 24; 36
660; "wait"; 680; 681; 20; 319
661; "drive"; 681; 682; 24; 36
662; "wait"; 682; 683; 20; 319
663; "drive"; 683; 684; 36; 56
664; "wait"; 684; 685; 20; 319
665; "drive"; 685; 686; 34; 50
666; "wait"; 686; 687; 20; 319
667; "drive"; 687; 688; 24; 36
668; "wait"; 688; 689; 20; 319
669; "drive"; 689; 690; 28; 40
670; "wait"; 690; 691; 20; 319
671; "drive"; 691; 692; 28; 40
672; "wait"; 692; 693; 20; 319
673; "drive"; 693; 694; 34; 50
674; "wait"; 694; 695; 20; 319
675; "drive"; 695; 696; 26; 38
676; "wait"; 696; 697; 20; 319
677; "drive"; 697; 698; 96; 144
678; "wait"; 698; 699; 20; 319
679; "drive"; 699; 700; 32; 48
680; "drive"; 701; 702; 32; 48
681; "wait"; 702; 703; 20; 319
682; "drive"; 703; 704; 96; 144
683; "wait"; 704; 705; 20; 319
684; "drive"; 705; 706; 26; 38
685; "wait"; 706; 707; 20; 319
686; "drive"; 707; 708; 34; 50
687; "wait"; 708; 709; 20; 319
688; "drive"; 709; 710; 28; 40
689; "wait"; 710; 711; 20; 319
690; "drive"; 711; 712; 28; 40
691; "wait"; 712; 713; 20; 319
692; "drive"; 713; 714; 24; 36
693; "wait"; 714; 715; 20; 319
694; "drive"; 715; 716; 34; 50
695; "wait"; 716; 717; 20; 319
696; "drive"; 717; 718; 36; 56
697; "wait"; 718; 719; 20; 319
698; "drive"; 719; 720; 24; 36
699; "wait"; 720; 721; 20; 319
700; "drive"; 721; 722; 24; 36
701; "wait"; 722; 723; 20; 319
702; "drive"; 723; 724; 24; 36
703; "drive"; 725; 726; 32; 48
704; "wait"; 726; 727; 20; 319
705; "drive"; 727; 728; 96; 144
706; "wait"; 728; 729; 20; 319
707; "drive"; 729; 730; 26; 38
708; "wait"; 730; 731; 20; 319
709; "drive"; 731; 732; 34; 50
710; "wait"; 732; 733; 20; 319
711; "drive"; 733; 734; 28; 40
712; "wait"; 734; 735; 20; 319
713; "drive"; 735; 736; 28; 40
714; "wait"; 736; 737; 20; 319
715; "drive"; 737; 738; 24; 36
716; "wait"; 738; 739; 20; 319
717; "drive"; 739; 740; 34; 50
718; "wait"; 740; 741; 20; 319
719; "drive"; 741; 742; 36; 56
720; "wait"; 742; 743; 20; 319
721; "drive"; 743; 744; 24; 36
722; "wait"; 744; 745; 20; 319
723; "drive"; 745; 746; 24; 36
724; "wait"; 746; 747; 20; 319
725; "drive"; 747; 748; 24; 36
726; "drive"; 749; 750; 32; 48
727; "wait"; 750; 751; 20; 319
728; "drive"; 751; 752; 96; 144
729; "wait"; 752; 753; 20; 319
730; "drive"; 753; 754; 26; 38
731; "wait"; 754; 755; 20; 319
732; "drive"; 755; 756; 34; 50
733; "wait"; 756; 757; 20; 319
