# origin; destination; customers
15; 346; 3
15; 375; 13
20; 3; 34
20; 5; 485
20; 6; 44
20; 8; 3489
20; 10; 48
20; 12; 600
20; 13; 132
20; 14; 17
20; 15; 15
20; 22; 545
20; 27; 56
20; 28; 54
20; 29; 146
20; 31; 53
20; 32; 51
20; 33; 9
20; 36; 7698
20; 40; 847
20; 50; 933
20; 53; 298
20; 68; 147
20; 69; 356
20; 70; 91
20; 308; 16
20; 346; 841
20; 375; 61
22; 3; 8
22; 5; 19
22; 6; 9
22; 8; 1046
22; 10; 13
22; 12; 59
22; 13; 18
22; 14; 3
22; 15; 2
22; 20; 545
22; 27; 13
22; 28; 13
22; 29; 13
22; 31; 5
22; 32; 11
22; 33; 2
22; 36; 1250
22; 40; 90
22; 50; 41
22; 53; 44
22; 68; 52
22; 69; 100
22; 70; 8
22; 308; 5
22; 346; 77
22; 375; 21
27; 3; 39
27; 6; 2663
27; 8; 2827
27; 10; 32
27; 12; 79
27; 13; 113
27; 14; 15
27; 15; 35
27; 20; 56
27; 22; 13
27; 28; 45
27; 29; 39
27; 31; 174
27; 32; 604
27; 33; 657
27; 36; 611
27; 40; 358
27; 50; 22
27; 53; 18
27; 68; 116
27; 69; 56
27; 70; 4
27; 308; 8
27; 346; 11
27; 375; 84
28; 3; 10
28; 5; 8
28; 6; 36
28; 8; 2650
28; 10; 756
28; 12; 21
28; 13; 12
28; 14; 655
28; 15; 3
28; 20; 54
28; 22; 13
28; 27; 45
28; 29; 15
28; 31; 5
28; 32; 32
28; 33; 6
28; 36; 550
28; 40; 166
28; 50; 10
28; 53; 9
28; 68; 178
28; 69; 44
28; 70; 6
28; 308; 868
28; 346; 15
28; 375; 114
29; 5; 210
29; 8; 1615
29; 10; 18
29; 12; 320
29; 13; 167
29; 14; 3
29; 15; 97
29; 20; 146
29; 22; 13
29; 27; 39
29; 28; 15
29; 31; 56
29; 32; 30
29; 33; 4
29; 36; 848
29; 40; 84
29; 50; 16
29; 53; 13
29; 68; 73
29; 69; 65
29; 70; 9
29; 308; 3
29; 346; 18
29; 375; 26
31; 3; 5
31; 5; 2171
31; 8; 506
31; 10; 4
31; 12; 84
31; 13; 995
31; 14; 1
31; 15; 157
31; 20; 53
31; 22; 5
31; 27; 174
31; 28; 5
31; 29; 56
31; 32; 20
31; 33; 10
31; 36; 504
31; 40; 43
31; 50; 5
31; 53; 4
31; 68; 16
31; 69; 11
31; 70; 2
31; 308; 1
31; 346; 6
31; 375; 15
32; 3; 12
32; 6; 321
32; 8; 3181
32; 10; 56
32; 12; 38
32; 13; 56
32; 14; 6
32; 15; 16
32; 20; 51
32; 22; 11
32; 27; 604
32; 28; 32
32; 29; 30
32; 31; 20
32; 33; 85
32; 36; 315
32; 40; 145
32; 50; 17
32; 53; 15
32; 68; 148
32; 69; 79
32; 70; 5
32; 308; 5
32; 346; 13
32; 375; 60
33; 3; 2
33; 6; 204
33; 8; 583
33; 10; 8
33; 12; 10
33; 13; 12
33; 14; 1
33; 15; 3
33; 20; 9
33; 22; 2
33; 27; 657
33; 28; 6
33; 29; 4
33; 31; 10
33; 32; 85
33; 36; 72
33; 40; 42
33; 50; 3
33; 53; 2
33; 68; 23
33; 69; 12
33; 70; 1
33; 308; 1
33; 346; 2
33; 375; 11
34; 36; 680
34; 40; 10362
34; 68; 7780
34; 70; 407
34; 375; 5497
36; 3; 216
36; 5; 4174
36; 6; 382
36; 8; 16668
36; 10; 308
36; 12; 2816
36; 13; 635
36; 14; 232
36; 15; 124
36; 20; 7698
36; 22; 1250
36; 27; 611
36; 28; 550
36; 29; 848
36; 31; 504
36; 32; 315
36; 33; 72
36; 34; 1041
36; 40; 125792
36; 50; 1227
36; 53; 512
36; 68; 1326
36; 69; 958
36; 70; 6902
36; 308; 246
36; 346; 3084
36; 375; 2896
40; 3; 75
40; 5; 74
40; 6; 403
40; 10; 104
40; 12; 116
40; 13; 170
40; 14; 56
40; 15; 34
40; 20; 847
40; 22; 90
40; 27; 358
40; 28; 166
40; 29; 84
40; 31; 43
40; 32; 145
40; 33; 42
40; 34; 10362
40; 36; 125792
40; 50; 113
40; 53; 92
40; 68; 1663
40; 69; 250
40; 70; 2263
40; 308; 133
40; 346; 483
40; 375; 2441
50; 3; 4
50; 5; 9
50; 6; 20
50; 8; 1570
50; 10; 13
50; 12; 92
50; 13; 18
50; 14; 2
50; 15; 5
50; 20; 933
50; 22; 41
50; 27; 22
50; 28; 10
50; 29; 16
50; 31; 5
50; 32; 17
50; 33; 3
50; 36; 1227
50; 40; 113
50; 53; 216
50; 68; 104
50; 69; 425
50; 70; 11
50; 308; 3
50; 346; 80
50; 375; 39
53; 3; 3
53; 5; 5
53; 6; 16
53; 8; 1231
53; 10; 11
53; 12; 66
53; 13; 11
53; 14; 2
53; 15; 5
53; 20; 298
53; 22; 44
53; 27; 18
53; 28; 9
53; 29; 13
53; 31; 4
53; 32; 15
53; 33; 2
53; 36; 512
53; 40; 92
53; 50; 216
53; 68; 87
53; 69; 353
53; 70; 6
53; 308; 2
53; 346; 25
53; 375; 31
68; 3; 36
68; 5; 8
68; 6; 89
68; 10; 145
68; 12; 77
68; 13; 57
68; 14; 33
68; 15; 16
68; 20; 147
68; 22; 52
68; 27; 116
68; 28; 178
68; 29; 73
68; 31; 16
68; 32; 148
68; 33; 23
68; 34; 7780
68; 36; 1326
68; 40; 1663
68; 50; 104
68; 53; 87
68; 69; 350
68; 70; 84
68; 308; 36
68; 346; 40
68; 375; 926
69; 3; 16
69; 6; 53
69; 8; 3654
69; 10; 48
69; 12; 120
69; 13; 42
69; 14; 11
69; 15; 23
69; 20; 356
69; 22; 100
69; 27; 56
69; 28; 44
69; 29; 65
69; 31; 11
69; 32; 79
69; 33; 12
69; 36; 958
69; 40; 250
69; 50; 425
69; 53; 353
69; 68; 350
69; 70; 23
69; 308; 10
69; 346; 47
69; 375; 91
70; 3; 2
70; 5; 12
70; 6; 9
70; 10; 4
70; 12; 31
70; 13; 4
70; 14; 2
70; 15; 1
70; 20; 91
70; 22; 8
70; 27; 4
70; 28; 6
70; 29; 9
70; 31; 2
70; 32; 5
70; 33; 1
70; 34; 409
70; 36; 6902
70; 40; 2263
70; 50; 11
70; 53; 6
70; 68; 84
70; 69; 23
70; 308; 3
70; 346; 33
70; 375; 285
308; 3; 3
308; 5; 3
308; 6; 10
308; 8; 899
308; 10; 256
308; 12; 4
308; 13; 3
308; 14; 442
308; 15; 1
308; 20; 16
308; 22; 5
308; 27; 8
308; 28; 868
308; 29; 3
308; 31; 1
308; 32; 5
308; 33; 1
308; 36; 246
308; 40; 133
308; 50; 3
308; 53; 2
308; 68; 36
308; 69; 10
308; 70; 3
308; 346; 6
308; 375; 43
346; 3; 9
346; 5; 39
346; 6; 10
346; 8; 1046
346; 10; 13
346; 12; 60
346; 13; 21
346; 14; 5
346; 15; 3
346; 20; 841
346; 22; 77
346; 27; 11
346; 28; 15
346; 29; 18
346; 31; 6
346; 32; 13
346; 33; 2
346; 36; 3084
346; 40; 483
346; 50; 80
346; 53; 25
346; 68; 40
346; 69; 47
346; 70; 33
346; 308; 6
346; 375; 25
375; 3; 22
375; 5; 12
375; 6; 85
375; 10; 57
375; 12; 27
375; 13; 30
375; 14; 44
375; 15; 13
375; 20; 61
375; 22; 21
375; 27; 84
375; 28; 114
375; 29; 26
375; 31; 15
375; 32; 60
375; 33; 11
375; 34; 5497
375; 36; 2896
375; 40; 2441
375; 50; 39
375; 53; 31
375; 68; 926
375; 69; 91
375; 70; 285
375; 308; 43
375; 346; 25
